drug_id,drug_name,target_gene,target_pathway
305,Tpca-1,IKK2,"Other, kinases"
306,Fedratinib,JAK2,"Other, kinases"
308,Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling
309,Y-39983,ROCK,Cytoskeleton
310,Ym201636,PIKFYVE,PI3K/MTOR signaling
312,Tivozanib,"VEGFR1, VEGFR2, VEGFR3, PDGFR, KIT",RTK signaling
317,Wye-125132,mTOR,PI3K/MTOR signaling
326,Gsk690693,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
328,Snx-2112,HSP90,Protein stability and degradation
329,Ql-Xi-92,DDR1,Cytoskeleton
330,Xmd13-2,MRCKB,Cytoskeleton
331,Ql-X-138,BTK,"Other, kinases"
332,Xmd15-27,CAMK2,"Other, kinases"
333,T0901317,"LXR, FXR",Other
341,Selisistat,SIRT1,Chromatin histone acetylation
342,Tenovin-6,SIRT,Chromatin histone acetylation
344,Thz-2-49,CDK9,Cell cycle
345,Kin001-270,CDK9,Other
346,Thz-2-102-1,CDK7,Cell cycle
356,At7867,AKT,PI3K/MTOR signaling
362,Ci-1033,"EGFR, ERBB2, ERBB4",RTK signaling
363,Pf-00299804,"EGFR, ERBB2, ERBB4",RTK signaling
366,Tws119,GSK3,WNT signaling
371,Torin 2,mTOR,PI3K/MTOR signaling
372,Pilaralisib,PI3K,PI3K/MTOR signaling
374,Gsk1059615,PI3K,PI3K/MTOR signaling
375,Voxtalisib,"PI3K (class 1), DNAPK, MTOR",PI3K/MTOR signaling
376,"Brivanib, Bms-540215","VEGFR, PDGFR",RTK signaling
380,Bibf-1120,"VEGFR, PDGFR, FGFR",RTK signaling
381,Ast-1306,"EGFR, ERBB4",RTK signaling
382,Apitolisib,"mTOR, PI3K",PI3K/MTOR signaling
406,Limk1 Inhibitor Bms4,LIMK1,Cytoskeleton
407,Kb Nb 142-70,PKD,"Other, kinases"
408,Sphingosine Kinase 1 Inhibitor Ii,Sphingosine Kinase,"Other, kinases"
409,"Eef2K Inhibitor, A-484954",eEF2K,"Other, kinases"
410,"Metap2 Inhibitor, A832234",MetAP2,Other
412,Venotoclax,BCL-2 selective,Apoptosis regulation
415,Cpi-613,"Metabo, Mitochondria",Other
416,Cay10566,Stearoyl-CoA desaturase,Other
427,Ara-G,Anti-metabolite,Other
428,Pemetrexed,TYMS,DNA replication
431,Alisertib,AURKA,Mitosis
432,Flavopiridol,CDK,Cell cycle
435,C-75,FAS,Apoptosis regulation
436,"Cap-232, Tt-232, Tln-232",Glycolysis,Metabolism
437,Trichostatin A,HDAC,Chromatin histone acetylation
438,Panobinostat,HDAC,Chromatin histone acetylation
439,Lcl161,"XIAP, cIAP1, cIAP2",Apoptosis regulation
442,Imd-0354,IKKb,"Other, kinases"
446,Mim1,MCL-1,Apoptosis regulation
447,Etp-45835,"MNK1, MNK2","Other, kinases"
449,Cd532,AURKA,Mitosis
461,Nsc319726,P53 Mut specific,p53 pathway
474,Arry-520,KIF11,Mitosis
476,Sb505124,"TGFBR1, ACVR1B, ACVR1C",RTK signaling
477,A-83-01,TGFB,Other
478,Ldn-193189,BMP,Other
546,Fty-720,S1P,Other
552,Bam7,Bax activator,Other
562,Agi-6780,IDH2(R140Q),Metabolism
563,Kobe2602,RAS effector,RTK signaling
573,Lgk974,PORCN,WNT signaling
574,Wnt-C59,PORCN,WNT signaling
576,Ru-Ski 43,Shh,Other
1001,Aica Ribonucleotide,AMPK agonist,Metabolism
1003,Camptothecin,TOP1,DNA replication
1004,Vinblastine,Microtubule destabiliser,Mitosis
1005,Cisplatin,DNA crosslinker,DNA replication
1006,Cytarabine,Antimetabolite,Other
1007,Docetaxel,Microtubule stabiliser,Mitosis
1008,Methotrexate,Antimetabolite,DNA replication
1009,Tretinoin,Retinoic acid,Other
1010,Gefitinib,EGFR,EGFR signaling
1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation
1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation
1013,Nilotinib,ABL,ABL signaling
1014,Refametinib,"MEK1, MEK2",ERK MAPK signaling
1015,Ci-1040,"MEK1, MEK2",ERK MAPK signaling
1016,Temsirolimus,MTOR,PI3K/MTOR signaling
1017,Olaparib,"PARP1, PARP2",Genome integrity
1018,Veliparib,"PARP1, PARP2",Genome integrity
1019,Bosutinib,"SRC, ABL, TEC","Other, kinases"
1020,Lenalidomide,CRBN,Protein stability and degradation
1021,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling
1022,Azd7762,"CHEK1, CHEK2",Cell cycle
1023,Gw441756,NTRK1,RTK signaling
1024,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases"
1025,Sb216763,"GSK3A, GSK3B",WNT signaling
1026,Tanespimycin,HSP90,Protein stability and degradation
1028,Vx-702,p38,JNK and p38 signaling
1029,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling
1030,Ku-55933,ATM,Genome integrity
1031,Elesclomol,HSP90,Protein stability and degradation
1032,Afatinib,"EGFR, ERBB2",EGFR signaling
1033,Vismodegib,SMO,Other
1034,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling
1036,Plx-4720,BRAF,ERK MAPK signaling
1037,Bx795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases"
1038,Nu7441,DNAPK,Genome integrity
1039,Sl0101,"RSK, AURKB, PIM1, PIM3","Other, kinases"
1042,Doramapimod,"p38, JNK2",JNK and p38 signaling
1043,Jnk Inhibitor Viii,JNK,JNK and p38 signaling
1046,Wee1 Inhibitor,"WEE1, CHEK1",Cell cycle
1047,Nutlin-3A (-),MDM2,p53 pathway
1048,Mirin,MRE11,Genome integrity
1049,Pd173074,"FGFR1, FGFR2, FGFR3",RTK signaling
1050,Zm447439,"AURKA, AURKB",Mitosis
1051,Alisertib,AURKA,Mitosis
1052,Ro-3306,CDK1,Cell cycle
1053,Mk-2206,"AKT1, AKT2",PI3K/MTOR signaling
1054,Palbociclib,"CDK4, CDK6",Cell cycle
1057,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling
1058,Pictilisib,PI3K (class 1),PI3K/MTOR signaling
1059,Azd8055,"MTORC1, MTORC2",PI3K/MTOR signaling
1060,Pd0325901,"MEK1, MEK2",ERK MAPK signaling
1061,Sb590885,BRAF,ERK MAPK signaling
1062,Selumetinib,"MEK1, MEK2",ERK MAPK signaling
1066,Azd6482,PIK3CB,PI3K/MTOR signaling
1067,Cct007093,PPM1D,Cell cycle
1068,Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation
1069,Eht-1864,"RAC1, RAC2, RAC3",Cytoskeleton
1070,Crt0105950,"JNK1, JNK2, JNK3",JNK and p38 signaling
1071,Crt0105446,"mTOR, LCK",PI3K/MTOR signaling
1072,Avagacestat,"Amyloid beta20, Amyloid beta40",Other
1073,5-Fluorouracil,Antimetabolite (DNA & RNA),Other
1079,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases"
1080,Paclitaxel,Microtubule stabiliser,Mitosis
1083,Crizotinib,"MET, ALK, ROS1",RTK signaling
1084,Rapamycin,MTORC1,PI3K/MTOR signaling
1085,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases"
1086,Bi-2536,"PLK1, PLK2, PLK3",Cell cycle
1088,Irinotecan,TOP1,DNA replication
1089,Oxaliplatin,DNA alkylating agent,DNA replication
