drug_id,drug_name,target_gene,target_pathway
1444,Azd8186,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling
1445,Azd8835,"PI3Kalpha, PI3Kdelta",PI3K/MTOR signaling
1446,Pi3Ka_4409,"PI3Kalpha, PI3Kdelta",PI3K/MTOR signaling
1449,Azd1208,"PIM1, PIM2, PIM3","Other, kinases"
1451,Plk_6522,"PLK1, PLK2, PLK3",Cell cycle
1453,Raf_9304,"ARAF, BRAF, CRAF",ERK MAPK signaling
1458,Parp_9495,"PARP1, PARP2, PARP7",Genome integrity
1459,Parp_0108,"PARP1, PARP2, PARP6",Genome integrity
1460,Parp_9482,"PARP1, PARP2, PARP5a",Genome integrity
1461,Tank_1366,"Tankyrase 1/2 (PARP5a, PARP5b)",Genome integrity
1463,Azd1332,"NTRK1, NTRK2, NTRK3",RTK signaling
1464,Ttk_3146,TTK,Mitosis
1490,Sn-38,TOP1,DNA replication
1494,Sn-38,TOP1,DNA replication
1495,Olaparib,"PARP1, PARP2",Genome integrity
1496,Cisplatin,DNA crosslinker,DNA replication
1497,Azd4547,"FGFR1, FGFR2, FGFR3",RTK signaling
1498,Selumetinib,"MEK1, MEK2",ERK MAPK signaling
1502,Bicalutamide,AR,Hormone-related
1507,Ruxolitinib,"JAK1, JAK2","Other, kinases"
1510,Linsitinib,IGF1R,IGF1R signaling
1511,Epirubicin,Anthracycline,DNA replication
1512,Cyclophosphamide,Alkylating agent,DNA replication
1526,Refametinib,"MEK1, MEK2",ERK MAPK signaling
1527,Pictilisib,PI3K (class 1),PI3K/MTOR signaling
1529,Pevonedistat,NAE,Other
1530,Pfi-3,"PB1, SMARCA4, SMARCA2",Chromatin other
1531,I-Cbp112,"EP300, CBP",Chromatin histone acetylation
1549,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling
1553,Uprosertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
1557,Lcl161,"XIAP, IAP1, IAP2",Apoptosis regulation
1558,Lapatinib,"EGFR, ERBB2",EGFR signaling
1559,Luminespib,HSP90,Protein stability and degradation
1560,Alpelisib,PI3Kalpha,PI3K/MTOR signaling
1561,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling
1563,Epz5676,DOT1L,Chromatin histone methylation
1564,Sch772984,"ERK1, ERK2",ERK MAPK signaling
1576,Iwp-2,PORCN,WNT signaling
1578,Leflunomide,Pyrimidine synthesis inhibitor,DNA replication
1580,Gsk2801,,Chromatin other
1581,Bromosporine,"CECR2, BRD2, BRD4, BRD9",Chromatin other
1582,Sgc-Cbp30,"EP300, CBP",Chromatin histone acetylation
1583,Gsk-Lsd1,KDM1,Chromatin histone methylation
1584,Bdoca000347A,"BRPF1, BRPF2, BRPF3",Chromatin histone acetylation
1585,Bdf00022089A,"BRPF1, BRPF2, BRPF3",Chromatin histone acetylation
1586,Bdilv000379A,"BAZ2A, BAZ2B",Chromatin histone acetylation
1593,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation
1594,Osi-027,"MTORC1, MTORC2",PI3K/MTOR signaling
1598,Lgk974,PORCN,WNT signaling
1613,Ve-822,ATR,Genome integrity
1614,Wz4003,"NUAK1, NUAK2","Other, kinases"
1615,Czc24832,PI3Kgamma,PI3K/MTOR signaling
1617,Azd5582,"XIAP, cIAP",Apoptosis regulation
1618,Gsk2606414,PERK,Metabolism
1620,Pfi3,"Polybromo 1, SMARCA4, SMARCA2",Chromatin other
1621,Pci-34051,"HDAC8, HDAC6, HDAC1",Chromatin histone acetylation
1622,Wnt-C59,PORCN,WNT signaling
1624,I-Bet-762,"BRD2, BRD3, BRD4",Chromatin other
1625,Rvx-208,BRD4,Chromatin other
1626,Otx015,"BRD2, BRD3, BRD4",Chromatin other
1627,Gsk343,EZH2,Chromatin histone methylation
1629,Ml323,"USP1, UAF1",Protein stability and degradation
1630,Entospletinib,SYK,"Other, kinases"
1631,Prt062607,SYK,"Other, kinases"
1632,Ribociclib,"CDK4, CDK6",Cell cycle
1634,Agi-6780,IDH2 R140Q mutant,Metabolism
1635,Picolinici-Acid,Inflammatory related,Other
1706,Azd5153,BRD4,Chromatin other
1708,Cdk9_5576,CDK9,Cell cycle
1709,Cdk9_5038,CDK9,Cell cycle
1712,Eg5_9814,KSP11,Other
1713,Erk_2440,"ERK1,ERK2",ERK MAPK signaling
1714,Erk_6604,"ERK1,ERK2",ERK MAPK signaling
1716,Irak4_4710,IRAK4,"Other, kinases"
1718,Jak1_8709,JAK1,"Other, kinases"
1720,Azd5991,MCL1,Apoptosis regulation
1730,Pak_5339,"PAK1, PAK2",Cytoskeleton
1732,Taf1_5496,TAF1,Other
1733,Ulk1_4989,ULK1,"Other, kinases"
1734,Vsp34_8731,VSP34,Other
1736,Selumetinib,"MEK1, MEK2",ERK MAPK signaling
1738,Igf1R_3801,IGFR1,IGF1R signaling
1739,Jak_8517,"JAK1, JAK2","Other, kinases"
1776,Gsk2256098C,FAK1,Cytoskeleton
1777,Gsk2276186C,"JAK1, JAK2, JAK3","Other, kinases"
1778,Gsk2110183B,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
1779,Gsk626616Ac,DYRK1A,"Other, kinases"
1780,Gsk3337463A,NIK,"Other, kinases"
1782,Gsk2830371A,PPM1D,Other
1783,Lmb_Ab1,"ADRA1A, ADRB1",Other
1784,Lmb_Ab2,GADD34,Unclassified
1785,Lmb_Ab3,PPP1R15B,Other
1786,Azd4547,"FGFR1, FGFR2, FGFR3",RTK signaling
1799,Ibrutinib,BTK,"Other, kinases"
1802,Zoledronate, ,Other
1803,Acetalax,,Unclassified
1804,Acetalax,,Unclassified
1806,Oxaliplatin,DNA alkylating agent,DNA replication
1808,Topotecan,TOP1,DNA replication
1809,Teniposide,,DNA replication
1810,Mitoxantrone,TOP2,DNA replication
1811,Dactinomycin,RNA polymerase,Other
1812,Bleomycin,dsDNA break induction,DNA replication
1813,Fludarabine,Antimetabolite,DNA replication
1814,Nelarabine,,DNA replication
1815,Dacarbazine,CP11A,Other
1816,Fulvestrant,ESR,Hormone-related
1817,Romidepsin,"HDAC1, HDAC2, HDAC3, HDAC8",Chromatin histone acetylation
1819,Docetaxel,Microtubule stabiliser,Mitosis
1820,123829,,Unclassified
1821,765771,,Unclassified
1824,123138,,Unclassified
1825,Podophyllotoxin Bromide,,Unclassified
1826,50869,,Unclassified
1827,Dihydrorotenone,,Unclassified
1828,720427,,Unclassified
1829,667880,,Unclassified
1830,Gallibiscoquinazole,,Unclassified
1831,L-Oxonoreleagnine,,Unclassified
1832,729189,,Unclassified
1833,741909,,Unclassified
1834,743380,,Unclassified
1835,Elephantin,,Unclassified
